Index,(In millions, except per share data),Group 1,Group 2,Value Column Name,Value
"1","Balance at May 31, 2017","COMMON STOCK","CLASS A","CLASS A SHARES","329"
"1","Balance at May 31, 2017","COMMON STOCK","CLASS A","CLASS A AMOUNT","0"
"1","Balance at May 31, 2017","COMMON STOCK","CLASS B","CLASS B SHARES","1314"
"1","Balance at May 31, 2017","COMMON STOCK","CLASS B","CLASS B AMOUNT","3"
"1","Balance at May 31, 2017","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE","5710"
"1","Balance at May 31, 2017","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)","-213"
"1","Balance at May 31, 2017","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","6907"
"1","Balance at May 31, 2017","Custom Group All","Custom Group All","TOTAL","12407"
"10","Balance at May 31, 2018","COMMON STOCK","CLASS A","CLASS A SHARES","329"
"10","Balance at May 31, 2018","COMMON STOCK","CLASS A","CLASS A AMOUNT","0"
"10","Balance at May 31, 2018","COMMON STOCK","CLASS B","CLASS B SHARES","1272"
"10","Balance at May 31, 2018","COMMON STOCK","CLASS B","CLASS B AMOUNT","3"
"10","Balance at May 31, 2018","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE","6384"
"10","Balance at May 31, 2018","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)","-92"
"10","Balance at May 31, 2018","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","3517"
"10","Balance at May 31, 2018","Custom Group All","Custom Group All","TOTAL","9812"
"21","Balance at May 31, 2019","COMMON STOCK","CLASS A","CLASS A SHARES","315"
"21","Balance at May 31, 2019","COMMON STOCK","CLASS A","CLASS A AMOUNT","0"
"21","Balance at May 31, 2019","COMMON STOCK","CLASS B","CLASS B SHARES","1253"
"21","Balance at May 31, 2019","COMMON STOCK","CLASS B","CLASS B AMOUNT","3"
"21","Balance at May 31, 2019","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE","7163"
"21","Balance at May 31, 2019","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)","231"
"21","Balance at May 31, 2019","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","1643"
"21","Balance at May 31, 2019","Custom Group All","Custom Group All","TOTAL","9040"
"30","Balance at May 31, 2020","COMMON STOCK","CLASS A","CLASS A SHARES","315"
"30","Balance at May 31, 2020","COMMON STOCK","CLASS A","CLASS A AMOUNT","0"
"30","Balance at May 31, 2020","COMMON STOCK","CLASS B","CLASS B SHARES","1243"
"30","Balance at May 31, 2020","COMMON STOCK","CLASS B","CLASS B AMOUNT","3"
"30","Balance at May 31, 2020","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE","8299"
"30","Balance at May 31, 2020","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)","-56"
"30","Balance at May 31, 2020","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","-191"
"30","Balance at May 31, 2020","Custom Group All","Custom Group All","TOTAL","8055"
"2","Stock options exercised","COMMON STOCK","CLASS A","CLASS A SHARES",
"2","Stock options exercised","COMMON STOCK","CLASS A","CLASS A AMOUNT",
"2","Stock options exercised","COMMON STOCK","CLASS B","CLASS B SHARES","24"
"2","Stock options exercised","COMMON STOCK","CLASS B","CLASS B AMOUNT",
"2","Stock options exercised","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE","600"
"2","Stock options exercised","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)",
"2","Stock options exercised","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)",
"2","Stock options exercised","Custom Group All","Custom Group All","TOTAL","600"
"3","Repurchase of Class B Common Stock","COMMON STOCK","CLASS A","CLASS A SHARES",
"3","Repurchase of Class B Common Stock","COMMON STOCK","CLASS A","CLASS A AMOUNT",
"3","Repurchase of Class B Common Stock","COMMON STOCK","CLASS B","CLASS B SHARES","-70"
"3","Repurchase of Class B Common Stock","COMMON STOCK","CLASS B","CLASS B AMOUNT",
"3","Repurchase of Class B Common Stock","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE","-254"
"3","Repurchase of Class B Common Stock","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)",
"3","Repurchase of Class B Common Stock","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","-4013"
"3","Repurchase of Class B Common Stock","Custom Group All","Custom Group All","TOTAL","-4267"
"4","Dividends on common stock ($0.78 per share) preferred stock ($0.10 per and share)","COMMON STOCK","CLASS A","CLASS A SHARES",
"4","Dividends on common stock ($0.78 per share) preferred stock ($0.10 per and share)","COMMON STOCK","CLASS A","CLASS A AMOUNT",
"4","Dividends on common stock ($0.78 per share) preferred stock ($0.10 per and share)","COMMON STOCK","CLASS B","CLASS B SHARES",
"4","Dividends on common stock ($0.78 per share) preferred stock ($0.10 per and share)","COMMON STOCK","CLASS B","CLASS B AMOUNT",
"4","Dividends on common stock ($0.78 per share) preferred stock ($0.10 per and share)","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE",
"4","Dividends on common stock ($0.78 per share) preferred stock ($0.10 per and share)","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)",
"4","Dividends on common stock ($0.78 per share) preferred stock ($0.10 per and share)","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","-1265"
"4","Dividends on common stock ($0.78 per share) preferred stock ($0.10 per and share)","Custom Group All","Custom Group All","TOTAL","-1265"
"5","Issuance of shares to employees, net of shares withheld for employee taxes","COMMON STOCK","CLASS A","CLASS A SHARES",
"5","Issuance of shares to employees, net of shares withheld for employee taxes","COMMON STOCK","CLASS A","CLASS A AMOUNT",
"5","Issuance of shares to employees, net of shares withheld for employee taxes","COMMON STOCK","CLASS B","CLASS B SHARES","4"
"5","Issuance of shares to employees, net of shares withheld for employee taxes","COMMON STOCK","CLASS B","CLASS B AMOUNT",
"5","Issuance of shares to employees, net of shares withheld for employee taxes","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE","110"
"5","Issuance of shares to employees, net of shares withheld for employee taxes","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)",
"5","Issuance of shares to employees, net of shares withheld for employee taxes","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","-28"
"5","Issuance of shares to employees, net of shares withheld for employee taxes","Custom Group All","Custom Group All","TOTAL","82"
"6","Stock-based compensation","COMMON STOCK","CLASS A","CLASS A SHARES",
"6","Stock-based compensation","COMMON STOCK","CLASS A","CLASS A AMOUNT",
"6","Stock-based compensation","COMMON STOCK","CLASS B","CLASS B SHARES",
"6","Stock-based compensation","COMMON STOCK","CLASS B","CLASS B AMOUNT",
"6","Stock-based compensation","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE","218"
"6","Stock-based compensation","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)",
"6","Stock-based compensation","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)",
"6","Stock-based compensation","Custom Group All","Custom Group All","TOTAL","218"
"7","Net income","COMMON STOCK","CLASS A","CLASS A SHARES",
"7","Net income","COMMON STOCK","CLASS A","CLASS A AMOUNT",
"7","Net income","COMMON STOCK","CLASS B","CLASS B SHARES",
"7","Net income","COMMON STOCK","CLASS B","CLASS B AMOUNT",
"7","Net income","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE",
"7","Net income","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)",
"7","Net income","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","1933"
"7","Net income","Custom Group All","Custom Group All","TOTAL","1933"
"8","Other comprehensive income (loss)","COMMON STOCK","CLASS A","CLASS A SHARES",
"8","Other comprehensive income (loss)","COMMON STOCK","CLASS A","CLASS A AMOUNT",
"8","Other comprehensive income (loss)","COMMON STOCK","CLASS B","CLASS B SHARES",
"8","Other comprehensive income (loss)","COMMON STOCK","CLASS B","CLASS B AMOUNT",
"8","Other comprehensive income (loss)","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE",
"8","Other comprehensive income (loss)","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)","104"
"8","Other comprehensive income (loss)","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)",
"8","Other comprehensive income (loss)","Custom Group All","Custom Group All","TOTAL","104"
"9","Reclassifications to retained earnings in accordance with ASU 2018-02","COMMON STOCK","CLASS A","CLASS A SHARES",
"9","Reclassifications to retained earnings in accordance with ASU 2018-02","COMMON STOCK","CLASS A","CLASS A AMOUNT",
"9","Reclassifications to retained earnings in accordance with ASU 2018-02","COMMON STOCK","CLASS B","CLASS B SHARES",
"9","Reclassifications to retained earnings in accordance with ASU 2018-02","COMMON STOCK","CLASS B","CLASS B AMOUNT",
"9","Reclassifications to retained earnings in accordance with ASU 2018-02","Custom Group All","Custom Group All","CAPITAL IN EXCESS OF STATED VALUE",
"9","Reclassifications to retained earnings in accordance with ASU 2018-02","Custom Group All","Custom Group All","ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS)","17"
"9","Reclassifications to retained earnings in accordance with ASU 2018-02","Custom Group All","Custom Group All","RETAINED EARNINGS (DEFICIT)","-17"
"9","Reclassifications to retained earnings in accordance with ASU 2018-02","Custom Group All","Custom Group All","TOTAL","0"
